"Zipcode","Fair health","Poor health","Harmful Guards","Helpful Guards","Sidewalk Damage","rootstone","rootgrate","rootother","trunkwire","trnklight","trnkother","brchlight","brchshoe","brchother"
10308,0.178846153846154,0.0494082840236686,0,0,0.269674556213018,0.872633136094675,0.999852071005917,0.988313609467456,0,0.997485207100592,0.989644970414201,0.926775147928994,1,0.991715976331361
10309,0.122970244887211,0.04783639076626,0,0,0.174229790222066,0.951549196875274,1,0.991749319757746,0,0.9997366804178,0.984025278679891,0.897217589748091,1,0.990081629070482
10310,0.0694324402189571,0.017574186113512,0,0,0.276865456640738,0.922788821665226,0.997695188706425,0.976951887064247,0,0.999423797176606,0.985306828003457,0.836358398156151,1,0.985306828003457
10312,0.166902939230697,0.0498062564974955,0,0,0.181551838200548,0.941687931197429,0.999905490974388,0.985965409696626,0,0.998818637179851,0.983744447594745,0.925479633304981,0.999952745487194,0.987713826670447
10314,0.139078714249557,0.0404960769425462,0,0,0.2513920526449,0.918628195393571,0.999746899519109,0.97310807390534,0,0.999620349278664,0.984371045304986,0.952353834472285,0.999810174639332,0.992090609972159
10451,0.184565128623928,0.0751327072274398,0,0,0.236423029808085,0.762351980400163,0.994283380971825,0.939567170273581,0,0.999183340138832,0.895467537770519,0.981625153123724,0.998775010208248,0.918334013883218
10452,0.173140620295092,0.0517916290274014,0,0,0.263775971093044,0.714543812104788,0.984643179765131,0.935260463715748,0,0.997591087021981,0.937970490816019,0.964468533574225,0.996386630532972,0.9418849744053
10453,0.171593611960584,0.0339789330615019,0,0,0.287121984369691,0.795786612300374,0.9932042133877,0.950730547060822,0,0.998980632008155,0.951749915052667,0.978933061501869,0.99728168535508,0.958205912334353
10454,0.171493469619534,0.0340715502555366,0,0,0.391822827938671,0.640545144804089,0.987507098239637,0.907438955139126,0,0.997160704145372,0.906303236797274,0.922203293583191,0.998864281658149,0.894946053378762
10455,0.141400092721372,0.0403337969401947,0,0,0.246175243393602,0.789986091794159,0.986555401019935,0.96105702364395,0,0.999072786277237,0.958738989337042,0.966156699119147,1,0.972183588317107
10456,0.129435282358821,0.044727636181909,0,0,0.233383308345827,0.783858070964518,0.995752123938031,0.942528735632184,0,0.99800099950025,0.90279860069965,0.959770114942529,0.998250874562719,0.946276861569215
10457,0.220185728250244,0.0657380254154448,0,0,0.290566959921799,0.791300097751711,0.996578690127077,0.95405669599218,0,0.999755620723363,0.949902248289345,0.948680351906158,0.998533724340176,0.944281524926686
10458,0.148816568047337,0.0428994082840237,0,0,0.356804733727811,0.755029585798817,0.988757396449704,0.94792899408284,0,0.998224852071006,0.946745562130177,0.960650887573965,0.997337278106509,0.945562130177515
10459,0.124387855044074,0.0284035259549461,0,0,0.356186745021221,0.844923277832191,0.991511589944499,0.983023179888998,0,0.999673522690173,0.986287952987267,0.959843290891283,0.998041136141038,0.986287952987267
10460,0.124962541204675,0.0353611027869344,0,0,0.275696733593048,0.795325142343422,1,0.935271201678154,0,0.999400659274798,0.950254719808211,0.93676955349116,0.998201977824393,0.970032963739886
10461,0.0786867204695525,0.0273294203961849,0,0,0.328319882611886,0.827035950110051,0.9994497432135,0.973037417461482,0,0.999082905355833,0.988444607483492,0.860601614086574,1,0.990829053558327
10462,0.100874084573588,0.0285849279470824,0,0,0.228915662650602,0.897944720056697,0.992912827781715,0.993621545003544,0,0.999527521852114,0.983463264824002,0.906921804866525,0.999763760926057,0.996220174816915
10463,0.134785005512679,0.0427232635060639,0,0,0.254685777287762,0.752480705622933,0.997519294377067,0.953417861080485,0,0.999173098125689,0.948732083792723,0.912072767364939,0.998897464167585,0.971609702315325
10464,0.1241768579492,0.0338664158043274,0,0,0.226716839134525,0.849482596425212,1,0.971777986829727,0,0.992474129821261,0.988711194731891,0.857008466603951,1,0.994355597365945
10465,0.0885587497588269,0.0248890603897357,0,0,0.284970094539842,0.825583638819217,1,0.969322786031256,0,0.999421184642099,0.986687246768281,0.876133513409222,0.999421184642099,0.99305421570519
10466,0.0968953925252126,0.0292663634565948,0,0,0.307494561993277,0.791378287522246,0.999604508601938,0.934743919319755,0,1,0.954122997824797,0.830729681629425,0.999406762902907,0.95273877793158
10467,0.122839363908735,0.0373357916570638,0,0,0.292924637013137,0.771145425213183,0.99723438580318,0.942152569716525,0,0.998847660751325,0.953906430053008,0.891219174925098,0.998386725051855,0.955980640700622
10468,0.153252850435949,0.0295103957075788,0,0,0.248155600268276,0.793427230046948,0.995640509725017,0.940979208584842,0,0.99832327297116,0.95271629778672,0.974178403755869,0.997652582159624,0.980885311871227
10469,0.108572281959379,0.0312126642771804,0,0,0.247909199522103,0.854091995221028,0.999551971326165,0.984767025089606,0,0.999850657108722,0.970878136200717,0.723715651135006,0.999701314217443,0.988201911589008
10470,0.127965492451474,0.0373831775700935,0,0,0.323508267433501,0.753414809489576,0.999281092739037,0.970524802300503,0,0.999281092739037,0.971243709561467,0.829618979151689,0.999281092739037,0.992092020129403
10471,0.138251366120219,0.0234972677595628,0,0,0.27431693989071,0.815300546448087,0.999453551912568,0.878688524590164,0,0.998907103825137,0.947540983606557,0.827322404371585,0.999453551912568,0.973224043715847
10472,0.101381134293271,0.0296796943873053,0,0,0.300029385836027,0.859829562151043,0.998824566558919,0.960622979723773,0,0.998824566558919,0.99147810755216,0.962092271525125,0.999118424919189,0.99118424919189
